
Training for 500 updates...
------------------------------------------------------------
Update   61 | reward:     nan | pl: -0.0097 | vf: 0.0159 | ent: 10.963 | time: 16.7s
Update   62 | reward:  -0.500 | pl: -0.0019 | vf: 0.0357 | ent: 10.962 | time: 16.6s
Update   63 | reward:     nan | pl: -0.0019 | vf: 0.0718 | ent: 10.959 | time: 16.6s
Update   64 | reward:  -0.033 | pl: -0.0049 | vf: 0.0147 | ent: 10.961 | time: 16.5s
Update   65 | reward:  -1.033 | pl: -0.0141 | vf: 0.0469 | ent: 10.962 | time: 16.3s
Update   66 | reward:     nan | pl: -0.0013 | vf: 0.0130 | ent: 10.961 | time: 16.3s
Update   67 | reward:  -0.000 | pl: -0.0081 | vf: 0.0486 | ent: 10.962 | time: 16.2s
Update   68 | reward:  -0.233 | pl: -0.0030 | vf: 0.0125 | ent: 10.961 | time: 16.3s
Update   69 | reward:     nan | pl: -0.0028 | vf: 0.0132 | ent: 10.960 | time: 16.2s
Update   70 | reward:  -0.233 | pl: -0.0097 | vf: 0.0633 | ent: 10.964 | time: 16.2s
Update   71 | reward:  -0.800 | pl: -0.0019 | vf: 0.0424 | ent: 10.964 | time: 16.2s
Update   72 | reward:     nan | pl: -0.0009 | vf: 0.0266 | ent: 10.962 | time: 16.2s
Update   73 | reward:  -0.233 | pl: -0.0071 | vf: 0.0407 | ent: 10.965 | time: 16.3s
Update   74 | reward:  -0.533 | pl: -0.0019 | vf: 0.0277 | ent: 10.964 | time: 16.3s
Update   75 | reward:     nan | pl: -0.0043 | vf: 0.0144 | ent: 10.963 | time: 16.2s
Update   76 | reward:   0.033 | pl: -0.0061 | vf: 0.0379 | ent: 10.963 | time: 16.3s
Update   77 | reward:     nan | pl: -0.0011 | vf: 0.0370 | ent: 10.963 | time: 16.5s
Update   78 | reward:  -0.000 | pl: -0.0069 | vf: 0.0137 | ent: 10.964 | time: 16.5s
Update   79 | reward:   0.033 | pl: -0.0007 | vf: 0.0359 | ent: 10.962 | time: 16.6s
Update   80 | reward:     nan | pl: -0.0046 | vf: 0.0188 | ent: 10.961 | time: 16.6s
Update   81 | reward:  -0.800 | pl: 0.0013 | vf: 0.0374 | ent: 10.961 | time: 16.5s
Update   82 | reward:  -1.067 | pl: -0.0093 | vf: 0.0555 | ent: 10.959 | time: 16.5s
Update   83 | reward:     nan | pl: -0.0059 | vf: 0.0164 | ent: 10.955 | time: 16.5s
Update   84 | reward:  -0.767 | pl: -0.0036 | vf: 0.0268 | ent: 10.957 | time: 16.5s
Update   85 | reward:  -0.800 | pl: -0.0087 | vf: 0.0458 | ent: 10.957 | time: 16.5s
Update   86 | reward:     nan | pl: -0.0026 | vf: 0.0180 | ent: 10.959 | time: 16.3s
Update   87 | reward:   0.567 | pl: -0.0067 | vf: 0.0250 | ent: 10.961 | time: 16.5s
Update   88 | reward:     nan | pl: -0.0022 | vf: 0.0161 | ent: 10.958 | time: 16.5s
Update   89 | reward:  -0.267 | pl: -0.0038 | vf: 0.0136 | ent: 10.959 | time: 16.5s
Update   90 | reward:   0.033 | pl: -0.0109 | vf: 0.0140 | ent: 10.956 | time: 16.5s
Update   91 | reward:     nan | pl: -0.0025 | vf: 0.0137 | ent: 10.949 | time: 16.5s
Update   92 | reward:  -1.067 | pl: -0.0037 | vf: 0.0491 | ent: 10.951 | time: 16.6s
Update   93 | reward:  -0.267 | pl: -0.0143 | vf: 0.0089 | ent: 10.951 | time: 16.5s
Update   94 | reward:     nan | pl: 0.0008 | vf: 0.0132 | ent: 10.951 | time: 16.5s
Update   95 | reward:  -0.800 | pl: -0.0023 | vf: 0.0371 | ent: 10.954 | time: 16.5s
Update   96 | reward:   0.267 | pl: -0.0061 | vf: 0.0258 | ent: 10.954 | time: 16.3s
Update   97 | reward:     nan | pl: -0.0031 | vf: 0.0192 | ent: 10.955 | time: 16.0s
Update   98 | reward:   0.300 | pl: -0.0021 | vf: 0.0141 | ent: 10.957 | time: 16.0s
Update   99 | reward:  -0.267 | pl: -0.0023 | vf: 0.0433 | ent: 10.956 | time: 16.0s
Update  100 | reward:     nan | pl: -0.0087 | vf: 0.0129 | ent: 10.954 | time: 16.0s
Update  101 | reward:  -0.267 | pl: -0.0021 | vf: 0.0299 | ent: 10.953 | time: 16.0s
Update  102 | reward:     nan | pl: -0.0063 | vf: 0.0209 | ent: 10.947 | time: 16.2s
Update  103 | reward:  -0.267 | pl: -0.0058 | vf: 0.0341 | ent: 10.946 | time: 16.2s
Update  104 | reward:   0.000 | pl: -0.0010 | vf: 0.0114 | ent: 10.946 | time: 16.3s
Update  105 | reward:     nan | pl: -0.0119 | vf: 0.0183 | ent: 10.939 | time: 16.2s
Update  106 | reward:  -0.300 | pl: -0.0092 | vf: 0.0167 | ent: 10.939 | time: 16.2s
Update  107 | reward:  -1.100 | pl: -0.0079 | vf: 0.0713 | ent: 10.935 | time: 16.2s
Update  108 | reward:     nan | pl: -0.0099 | vf: 0.0289 | ent: 10.925 | time: 16.2s
Update  109 | reward:  -0.800 | pl: -0.0035 | vf: 0.0301 | ent: 10.926 | time: 16.2s
Update  110 | reward:  -1.367 | pl: -0.0045 | vf: 0.0596 | ent: 10.918 | time: 16.2s
Update  111 | reward:     nan | pl: -0.0044 | vf: 0.0218 | ent: 10.910 | time: 16.2s
Update  112 | reward:  -0.800 | pl: -0.0071 | vf: 0.0449 | ent: 10.919 | time: 16.2s
Update  113 | reward:     nan | pl: -0.0006 | vf: 0.0753 | ent: 10.918 | time: 16.2s
Update  114 | reward:   0.000 | pl: -0.0023 | vf: 0.0237 | ent: 10.920 | time: 16.2s
Update  115 | reward:  -1.333 | pl: -0.0005 | vf: 0.0443 | ent: 10.931 | time: 16.2s
Update  116 | reward:     nan | pl: -0.0011 | vf: 0.0154 | ent: 10.922 | time: 16.2s
Update  117 | reward:  -0.833 | pl: -0.0066 | vf: 0.0310 | ent: 10.926 | time: 16.3s
Update  118 | reward:  -0.267 | pl: 0.0019 | vf: 0.0166 | ent: 10.924 | time: 16.2s
Update  119 | reward:     nan | pl: -0.0092 | vf: 0.0255 | ent: 10.913 | time: 16.2s
Update  120 | reward:  -1.100 | pl: -0.0191 | vf: 0.0511 | ent: 10.912 | time: 16.2s
Update  121 | reward:  -0.033 | pl: -0.0078 | vf: 0.0609 | ent: 10.907 | time: 15.9s
Update  122 | reward:     nan | pl: -0.0026 | vf: 0.0218 | ent: 10.909 | time: 15.9s
Update  123 | reward:  -1.067 | pl: -0.0012 | vf: 0.0449 | ent: 10.917 | time: 16.2s
Update  124 | reward:  -1.367 | pl: -0.0017 | vf: 0.0497 | ent: 10.914 | time: 16.3s
Update  125 | reward:     nan | pl: -0.0018 | vf: 0.0264 | ent: 10.912 | time: 16.2s
Update  126 | reward:  -0.267 | pl: -0.0062 | vf: 0.0179 | ent: 10.915 | time: 16.2s
Update  127 | reward:     nan | pl: -0.0014 | vf: 0.0265 | ent: 10.901 | time: 16.2s
Update  128 | reward:  -0.267 | pl: -0.0035 | vf: 0.0381 | ent: 10.911 | time: 16.2s
Update  129 | reward:  -1.067 | pl: -0.0043 | vf: 0.0454 | ent: 10.920 | time: 16.3s
Update  130 | reward:     nan | pl: -0.0079 | vf: 0.0274 | ent: 10.914 | time: 16.2s
Update  131 | reward:  -1.100 | pl: -0.0081 | vf: 0.0522 | ent: 10.926 | time: 16.2s
Update  132 | reward:  -0.833 | pl: -0.0006 | vf: 0.0396 | ent: 10.929 | time: 16.2s
Update  133 | reward:     nan | pl: -0.0012 | vf: 0.0247 | ent: 10.924 | time: 16.2s
Update  134 | reward:  -1.067 | pl: -0.0030 | vf: 0.0432 | ent: 10.932 | time: 16.2s
Update  135 | reward:  -1.633 | pl: -0.0046 | vf: 0.0578 | ent: 10.926 | time: 16.2s
Update  136 | reward:     nan | pl: -0.0078 | vf: 0.0217 | ent: 10.920 | time: 16.2s
Update  137 | reward:  -0.800 | pl: -0.0017 | vf: 0.0259 | ent: 10.924 | time: 16.2s
Update  138 | reward:     nan | pl: -0.0033 | vf: 0.0612 | ent: 10.914 | time: 16.2s
Update  139 | reward:   0.000 | pl: -0.0069 | vf: 0.0423 | ent: 10.916 | time: 16.2s
Update  140 | reward:  -1.333 | pl: -0.0076 | vf: 0.0321 | ent: 10.918 | time: 16.2s
Update  141 | reward:     nan | pl: -0.0102 | vf: 0.0300 | ent: 10.897 | time: 16.2s
Update  142 | reward:  -1.100 | pl: -0.0007 | vf: 0.0457 | ent: 10.906 | time: 16.3s
Update  143 | reward:  -0.000 | pl: -0.0068 | vf: 0.0733 | ent: 10.905 | time: 16.2s
Update  144 | reward:     nan | pl: -0.0013 | vf: 0.0222 | ent: 10.890 | time: 16.2s
Update  145 | reward:  -0.867 | pl: -0.0079 | vf: 0.0337 | ent: 10.902 | time: 16.2s
Update  146 | reward:  -1.133 | pl: 0.0001 | vf: 0.0661 | ent: 10.890 | time: 16.2s
Update  147 | reward:     nan | pl: -0.0041 | vf: 0.0273 | ent: 10.889 | time: 16.2s
Update  148 | reward:  -0.833 | pl: -0.0036 | vf: 0.0256 | ent: 10.903 | time: 16.3s
Update  149 | reward:  -0.833 | pl: -0.0105 | vf: 0.0775 | ent: 10.898 | time: 16.3s
Update  150 | reward:     nan | pl: -0.0031 | vf: 0.0219 | ent: 10.900 | time: 16.2s
Update  151 | reward:  -0.267 | pl: -0.0006 | vf: 0.0467 | ent: 10.905 | time: 16.2s
Update  152 | reward:     nan | pl: -0.0025 | vf: 0.0296 | ent: 10.890 | time: 15.9s
Update  153 | reward:  -0.267 | pl: -0.0025 | vf: 0.0268 | ent: 10.896 | time: 15.9s
Update  154 | reward:  -0.567 | pl: -0.0055 | vf: 0.0350 | ent: 10.902 | time: 16.0s
Update  155 | reward:     nan | pl: -0.0054 | vf: 0.0275 | ent: 10.889 | time: 16.0s
Update  156 | reward:  -0.300 | pl: -0.0057 | vf: 0.0128 | ent: 10.907 | time: 16.0s
Update  157 | reward:  -0.300 | pl: -0.0006 | vf: 0.0206 | ent: 10.910 | time: 16.0s
Update  158 | reward:     nan | pl: -0.0014 | vf: 0.0270 | ent: 10.902 | time: 15.9s
Update  159 | reward:  -0.267 | pl: -0.0051 | vf: 0.0362 | ent: 10.913 | time: 15.9s
Update  160 | reward:  -1.367 | pl: -0.0042 | vf: 0.0471 | ent: 10.899 | time: 15.9s
Update  161 | reward:     nan | pl: -0.0017 | vf: 0.0268 | ent: 10.900 | time: 16.0s
Update  162 | reward:  -0.800 | pl: -0.0026 | vf: 0.0267 | ent: 10.908 | time: 15.9s
Update  163 | reward:     nan | pl: -0.0013 | vf: 0.0357 | ent: 10.895 | time: 16.0s
Update  164 | reward:  -0.267 | pl: -0.0024 | vf: 0.0281 | ent: 10.902 | time: 15.9s
Update  165 | reward:  -1.333 | pl: -0.0080 | vf: 0.0348 | ent: 10.907 | time: 15.9s
Update  166 | reward:     nan | pl: -0.0022 | vf: 0.0187 | ent: 10.885 | time: 15.9s
Update  167 | reward:  -1.100 | pl: -0.0145 | vf: 0.0525 | ent: 10.898 | time: 16.0s
Update  168 | reward:  -0.267 | pl: -0.0065 | vf: 0.0179 | ent: 10.908 | time: 15.9s
Update  169 | reward:     nan | pl: -0.0022 | vf: 0.0274 | ent: 10.898 | time: 15.9s
Update  170 | reward:  -0.033 | pl: -0.0020 | vf: 0.0175 | ent: 10.907 | time: 16.0s
Update  171 | reward:  -1.100 | pl: -0.0006 | vf: 0.0694 | ent: 10.900 | time: 16.0s
Update  172 | reward:     nan | pl: -0.0015 | vf: 0.0295 | ent: 10.898 | time: 16.2s
Update  173 | reward:   0.000 | pl: -0.0118 | vf: 0.0133 | ent: 10.904 | time: 16.2s
Update  174 | reward:  -0.300 | pl: -0.0013 | vf: 0.0445 | ent: 10.889 | time: 16.3s
Update  175 | reward:     nan | pl: -0.0009 | vf: 0.0253 | ent: 10.894 | time: 16.2s
Update  176 | reward:  -1.067 | pl: -0.0005 | vf: 0.0310 | ent: 10.898 | time: 16.2s
Update  177 | reward:     nan | pl: -0.0040 | vf: 0.0236 | ent: 10.881 | time: 16.2s
Update  178 | reward:  -0.800 | pl: -0.0029 | vf: 0.0429 | ent: 10.889 | time: 16.3s
Update  179 | reward:  -0.800 | pl: -0.0019 | vf: 0.0425 | ent: 10.894 | time: 16.2s
Update  180 | reward:     nan | pl: -0.0052 | vf: 0.0286 | ent: 10.874 | time: 16.2s
Update  181 | reward:  -0.067 | pl: -0.0075 | vf: 0.0366 | ent: 10.894 | time: 16.3s
Update  182 | reward:  -1.367 | pl: -0.0018 | vf: 0.0578 | ent: 10.899 | time: 16.2s
Update  183 | reward:     nan | pl: -0.0042 | vf: 0.0297 | ent: 10.893 | time: 15.9s
Update  184 | reward:  -1.100 | pl: -0.0015 | vf: 0.0474 | ent: 10.907 | time: 15.9s
Update  185 | reward:  -1.633 | pl: -0.0035 | vf: 0.0601 | ent: 10.894 | time: 15.9s
Update  186 | reward:     nan | pl: -0.0004 | vf: 0.0279 | ent: 10.891 | time: 16.0s
Update  187 | reward:  -1.067 | pl: -0.0010 | vf: 0.0413 | ent: 10.902 | time: 15.9s
Update  188 | reward:     nan | pl: -0.0024 | vf: 0.0860 | ent: 10.891 | time: 15.9s
Update  189 | reward:   0.000 | pl: -0.0033 | vf: 0.0366 | ent: 10.896 | time: 15.9s
Update  190 | reward:  -0.800 | pl: -0.0010 | vf: 0.0551 | ent: 10.899 | time: 15.9s
Update  191 | reward:     nan | pl: -0.0053 | vf: 0.0287 | ent: 10.877 | time: 15.9s
Update  192 | reward:  -0.833 | pl: -0.0006 | vf: 0.0452 | ent: 10.890 | time: 16.0s
Update  193 | reward:  -0.833 | pl: -0.0025 | vf: 0.0131 | ent: 10.895 | time: 15.9s
Update  194 | reward:     nan | pl: -0.0028 | vf: 0.0246 | ent: 10.882 | time: 15.9s
Update  195 | reward:  -1.100 | pl: -0.0025 | vf: 0.0512 | ent: 10.896 | time: 16.0s
Update  196 | reward:  -0.300 | pl: -0.0015 | vf: 0.0635 | ent: 10.888 | time: 15.9s
Update  197 | reward:     nan | pl: -0.0013 | vf: 0.0303 | ent: 10.880 | time: 15.9s
Update  198 | reward:  -1.067 | pl: -0.0016 | vf: 0.0417 | ent: 10.891 | time: 16.1s
Update  199 | reward:  -1.667 | pl: -0.0018 | vf: 0.0717 | ent: 10.877 | time: 15.9s
Update  200 | reward:     nan | pl: -0.0017 | vf: 0.0251 | ent: 10.882 | time: 15.9s
Update  201 | reward:  -1.100 | pl: -0.0026 | vf: 0.0264 | ent: 10.891 | time: 15.9s
Update  202 | reward:     nan | pl: -0.0018 | vf: 0.0295 | ent: 10.876 | time: 15.9s
Update  203 | reward:  -0.833 | pl: -0.0030 | vf: 0.0436 | ent: 10.882 | time: 16.0s
Update  204 | reward:  -0.833 | pl: -0.0024 | vf: 0.0614 | ent: 10.882 | time: 15.9s
Update  205 | reward:     nan | pl: -0.0024 | vf: 0.0259 | ent: 10.862 | time: 15.9s
Update  206 | reward:  -1.133 | pl: -0.0038 | vf: 0.0492 | ent: 10.882 | time: 15.9s
Update  207 | reward:  -0.333 | pl: -0.0052 | vf: 0.0253 | ent: 10.885 | time: 16.0s
Update  208 | reward:     nan | pl: -0.0037 | vf: 0.0296 | ent: 10.882 | time: 16.0s
Update  209 | reward:  -1.100 | pl: 0.0010 | vf: 0.0423 | ent: 10.898 | time: 15.9s
Update  210 | reward:  -0.567 | pl: -0.0080 | vf: 0.0808 | ent: 10.886 | time: 15.9s
Update  211 | reward:     nan | pl: -0.0049 | vf: 0.0309 | ent: 10.880 | time: 15.9s
Update  212 | reward:  -1.067 | pl: -0.0053 | vf: 0.0436 | ent: 10.883 | time: 16.0s
Update  213 | reward:     nan | pl: -0.0017 | vf: 0.0615 | ent: 10.865 | time: 15.9s
Update  214 | reward:   0.767 | pl: -0.0006 | vf: 0.0567 | ent: 10.871 | time: 15.9s
Update  215 | reward:  -0.833 | pl: -0.0029 | vf: 0.0134 | ent: 10.875 | time: 15.9s
Update  216 | reward:     nan | pl: -0.0012 | vf: 0.0273 | ent: 10.850 | time: 16.0s
Update  217 | reward:  -1.133 | pl: -0.0035 | vf: 0.0458 | ent: 10.865 | time: 16.0s
Update  218 | reward:  -0.300 | pl: -0.0036 | vf: 0.0497 | ent: 10.871 | time: 16.0s
Update  219 | reward:     nan | pl: -0.0012 | vf: 0.0239 | ent: 10.857 | time: 15.9s
Update  220 | reward:  -1.133 | pl: -0.0041 | vf: 0.0534 | ent: 10.870 | time: 15.9s
Update  221 | reward:  -0.333 | pl: -0.0054 | vf: 0.0325 | ent: 10.858 | time: 15.9s
Update  222 | reward:     nan | pl: -0.0017 | vf: 0.0252 | ent: 10.845 | time: 15.9s
Update  223 | reward:  -1.133 | pl: -0.0063 | vf: 0.0437 | ent: 10.858 | time: 16.0s
Update  224 | reward:  -1.667 | pl: -0.0007 | vf: 0.0701 | ent: 10.855 | time: 15.9s
Update  225 | reward:     nan | pl: -0.0018 | vf: 0.0230 | ent: 10.859 | time: 15.9s
Update  226 | reward:  -1.100 | pl: -0.0017 | vf: 0.0263 | ent: 10.870 | time: 15.9s
Update  227 | reward:     nan | pl: -0.0026 | vf: 0.0272 | ent: 10.851 | time: 15.9s
Update  228 | reward:  -1.100 | pl: -0.0022 | vf: 0.0419 | ent: 10.868 | time: 16.0s
Update  229 | reward:  -0.567 | pl: -0.0050 | vf: 0.0534 | ent: 10.879 | time: 16.2s
Update  230 | reward:     nan | pl: -0.0180 | vf: 0.0279 | ent: 10.870 | time: 16.2s
Update  231 | reward:  -1.133 | pl: -0.0052 | vf: 0.0486 | ent: 10.891 | time: 16.2s
Update  232 | reward:  -0.300 | pl: -0.0021 | vf: 0.0586 | ent: 10.897 | time: 16.2s
Update  233 | reward:     nan | pl: -0.0029 | vf: 0.0279 | ent: 10.888 | time: 16.2s
Update  234 | reward:  -1.100 | pl: -0.0008 | vf: 0.0449 | ent: 10.902 | time: 16.2s
Update  235 | reward:  -1.633 | pl: 0.0001 | vf: 0.0656 | ent: 10.896 | time: 16.2s
Update  236 | reward:     nan | pl: -0.0042 | vf: 0.0289 | ent: 10.894 | time: 16.2s
Update  237 | reward:  -0.267 | pl: -0.0011 | vf: 0.0515 | ent: 10.905 | time: 16.2s
Update  238 | reward:     nan | pl: -0.0065 | vf: 0.0823 | ent: 10.895 | time: 16.2s
Update  239 | reward:  -0.533 | pl: -0.0029 | vf: 0.0344 | ent: 10.893 | time: 16.2s
Update  240 | reward:  -1.333 | pl: -0.0067 | vf: 0.0367 | ent: 10.899 | time: 16.2s
Update  241 | reward:     nan | pl: -0.0003 | vf: 0.0278 | ent: 10.880 | time: 16.3s
Update  242 | reward:  -0.333 | pl: -0.0037 | vf: 0.0484 | ent: 10.893 | time: 16.2s
Update  243 | reward:  -0.033 | pl: -0.0040 | vf: 0.0301 | ent: 10.902 | time: 16.2s
Update  244 | reward:     nan | pl: -0.0176 | vf: 0.0231 | ent: 10.889 | time: 16.2s
Update  245 | reward:  -0.033 | pl: 0.0001 | vf: 0.0467 | ent: 10.894 | time: 15.9s
Update  246 | reward:  -0.300 | pl: -0.0006 | vf: 0.0561 | ent: 10.896 | time: 15.9s
Update  247 | reward:     nan | pl: -0.0023 | vf: 0.0286 | ent: 10.889 | time: 16.0s
Update  248 | reward:  -0.800 | pl: -0.0022 | vf: 0.0460 | ent: 10.899 | time: 16.0s
