
Training for 500 epochs...
------------------------------------------------------------
Epoch   69 | reward:    -0.47 | running:    -0.45 | jaccard:     0.81 | time: 5.5s
Epoch   70 | reward:    -0.46 | running:    -0.46 | jaccard:     0.82 | time: 5.5s
Epoch   71 | reward:    -0.43 | running:    -0.44 | jaccard:     0.78 | time: 5.4s
Epoch   72 | reward:    -0.42 | running:    -0.43 | jaccard:     0.82 | time: 5.4s
Epoch   73 | reward:    -0.49 | running:    -0.46 | jaccard:     0.79 | time: 5.5s
Epoch   74 | reward:    -0.56 | running:    -0.51 | jaccard:     0.80 | time: 5.4s
Epoch   75 | reward:    -0.47 | running:    -0.49 | jaccard:     0.81 | time: 5.5s
Epoch   76 | reward:    -0.42 | running:    -0.45 | jaccard:     0.82 | time: 5.5s
Epoch   77 | reward:    -0.47 | running:    -0.46 | jaccard:     0.81 | time: 5.5s
Epoch   78 | reward:    -0.48 | running:    -0.47 | jaccard:     0.79 | time: 5.5s
Epoch   79 | reward:    -0.45 | running:    -0.46 | jaccard:     0.78 | time: 5.5s
Epoch   80 | reward:    -0.42 | running:    -0.44 | jaccard:     0.83 | time: 5.5s
Epoch   81 | reward:    -0.40 | running:    -0.42 | jaccard:     0.83 | time: 5.4s
Epoch   82 | reward:    -0.40 | running:    -0.41 | jaccard:     0.83 | time: 5.5s
Epoch   83 | reward:    -0.41 | running:    -0.41 | jaccard:     0.82 | time: 5.5s
Epoch   84 | reward:    -0.41 | running:    -0.41 | jaccard:     0.83 | time: 5.5s
Epoch   85 | reward:    -0.49 | running:    -0.45 | jaccard:     0.81 | time: 5.5s
Epoch   86 | reward:    -0.41 | running:    -0.43 | jaccard:     0.85 | time: 5.5s
Epoch   87 | reward:    -0.55 | running:    -0.49 | jaccard:     0.81 | time: 5.5s
Epoch   88 | reward:    -0.42 | running:    -0.46 | jaccard:     0.81 | time: 5.5s
Epoch   89 | reward:    -0.45 | running:    -0.45 | jaccard:     0.76 | time: 5.5s
Epoch   90 | reward:    -0.47 | running:    -0.46 | jaccard:     0.82 | time: 5.5s
Epoch   91 | reward:    -0.43 | running:    -0.44 | jaccard:     0.85 | time: 5.4s
Epoch   92 | reward:    -0.43 | running:    -0.44 | jaccard:     0.80 | time: 5.4s
Epoch   93 | reward:    -0.50 | running:    -0.47 | jaccard:     0.78 | time: 5.4s
Epoch   94 | reward:    -0.46 | running:    -0.46 | jaccard:     0.81 | time: 5.5s
Epoch   95 | reward:    -0.43 | running:    -0.45 | jaccard:     0.79 | time: 5.4s
Epoch   96 | reward:    -0.43 | running:    -0.44 | jaccard:     0.78 | time: 5.4s
Epoch   97 | reward:    -0.41 | running:    -0.42 | jaccard:     0.81 | time: 5.5s
Epoch   98 | reward:    -0.43 | running:    -0.43 | jaccard:     0.81 | time: 5.4s
Epoch   99 | reward:    -0.42 | running:    -0.42 | jaccard:     0.79 | time: 5.5s
Epoch  100 | reward:    -0.42 | running:    -0.42 | jaccard:     0.83 | time: 5.4s
Epoch  101 | reward:    -0.39 | running:    -0.40 | jaccard:     0.83 | time: 5.4s
Epoch  102 | reward:    -0.51 | running:    -0.46 | jaccard:     0.77 | time: 5.4s
Epoch  103 | reward:    -0.39 | running:    -0.42 | jaccard:     0.81 | time: 5.4s
Epoch  104 | reward:    -0.42 | running:    -0.42 | jaccard:     0.81 | time: 5.4s
Epoch  105 | reward:    -0.40 | running:    -0.41 | jaccard:     0.81 | time: 5.4s
Epoch  106 | reward:    -0.38 | running:    -0.40 | jaccard:     0.81 | time: 5.4s
Epoch  107 | reward:    -0.50 | running:    -0.45 | jaccard:     0.80 | time: 5.4s
Epoch  108 | reward:    -0.45 | running:    -0.45 | jaccard:     0.83 | time: 5.5s
Epoch  109 | reward:    -0.40 | running:    -0.42 | jaccard:     0.79 | time: 5.4s
Epoch  110 | reward:    -0.49 | running:    -0.46 | jaccard:     0.83 | time: 5.4s
Epoch  111 | reward:    -0.49 | running:    -0.48 | jaccard:     0.74 | time: 5.4s
Epoch  112 | reward:    -0.39 | running:    -0.43 | jaccard:     0.82 | time: 5.4s
Epoch  113 | reward:    -0.38 | running:    -0.41 | jaccard:     0.84 | time: 5.5s
Epoch  114 | reward:    -0.40 | running:    -0.40 | jaccard:     0.80 | time: 5.4s
Epoch  115 | reward:    -0.47 | running:    -0.44 | jaccard:     0.81 | time: 5.5s
Epoch  116 | reward:    -0.41 | running:    -0.42 | jaccard:     0.76 | time: 5.5s
Epoch  117 | reward:    -0.41 | running:    -0.42 | jaccard:     0.81 | time: 5.5s
Epoch  118 | reward:    -0.37 | running:    -0.40 | jaccard:     0.82 | time: 5.4s
Epoch  119 | reward:    -0.37 | running:    -0.38 | jaccard:     0.82 | time: 5.5s
Epoch  120 | reward:    -0.37 | running:    -0.37 | jaccard:     0.83 | time: 5.5s
Epoch  121 | reward:    -0.37 | running:    -0.37 | jaccard:     0.82 | time: 5.4s
Epoch  122 | reward:    -0.40 | running:    -0.39 | jaccard:     0.82 | time: 5.5s
Epoch  123 | reward:    -0.38 | running:    -0.38 | jaccard:     0.80 | time: 5.5s
Epoch  124 | reward:    -0.38 | running:    -0.38 | jaccard:     0.82 | time: 5.5s
Epoch  125 | reward:    -0.38 | running:    -0.38 | jaccard:     0.78 | time: 5.5s
Epoch  126 | reward:    -0.38 | running:    -0.38 | jaccard:     0.84 | time: 5.5s
Epoch  127 | reward:    -0.39 | running:    -0.39 | jaccard:     0.76 | time: 5.5s
Epoch  128 | reward:    -0.36 | running:    -0.37 | jaccard:     0.84 | time: 5.5s
Epoch  129 | reward:    -0.37 | running:    -0.37 | jaccard:     0.83 | time: 5.5s
Epoch  130 | reward:    -0.36 | running:    -0.37 | jaccard:     0.86 | time: 5.5s
Epoch  131 | reward:    -0.35 | running:    -0.36 | jaccard:     0.85 | time: 5.4s
Epoch  132 | reward:    -0.46 | running:    -0.41 | jaccard:     0.76 | time: 5.4s
Epoch  133 | reward:    -0.37 | running:    -0.39 | jaccard:     0.86 | time: 5.4s
Epoch  134 | reward:    -0.35 | running:    -0.37 | jaccard:     0.83 | time: 5.5s
Epoch  135 | reward:    -0.36 | running:    -0.36 | jaccard:     0.80 | time: 5.5s
Epoch  136 | reward:    -0.38 | running:    -0.37 | jaccard:     0.80 | time: 5.5s
Epoch  137 | reward:    -0.46 | running:    -0.42 | jaccard:     0.79 | time: 5.5s
Epoch  138 | reward:    -0.36 | running:    -0.39 | jaccard:     0.79 | time: 5.5s
Epoch  139 | reward:    -0.37 | running:    -0.38 | jaccard:     0.75 | time: 5.5s
Epoch  140 | reward:    -0.37 | running:    -0.38 | jaccard:     0.82 | time: 5.5s
Epoch  141 | reward:    -0.36 | running:    -0.37 | jaccard:     0.81 | time: 5.4s
Epoch  142 | reward:    -0.37 | running:    -0.37 | jaccard:     0.81 | time: 5.4s
Epoch  143 | reward:    -0.36 | running:    -0.36 | jaccard:     0.84 | time: 5.5s
Epoch  144 | reward:    -0.37 | running:    -0.36 | jaccard:     0.80 | time: 5.5s
Epoch  145 | reward:    -0.34 | running:    -0.35 | jaccard:     0.84 | time: 5.5s
Epoch  146 | reward:    -0.34 | running:    -0.35 | jaccard:     0.80 | time: 5.5s
Epoch  147 | reward:    -0.37 | running:    -0.36 | jaccard:     0.84 | time: 5.5s
Epoch  148 | reward:    -0.38 | running:    -0.37 | jaccard:     0.73 | time: 5.5s
Epoch  149 | reward:    -0.34 | running:    -0.35 | jaccard:     0.84 | time: 5.5s
Epoch  150 | reward:    -0.37 | running:    -0.36 | jaccard:     0.77 | time: 5.5s
Epoch  151 | reward:    -0.36 | running:    -0.36 | jaccard:     0.83 | time: 5.5s
Epoch  152 | reward:    -0.37 | running:    -0.36 | jaccard:     0.78 | time: 5.5s
Epoch  153 | reward:    -0.36 | running:    -0.36 | jaccard:     0.84 | time: 5.5s
Epoch  154 | reward:    -0.36 | running:    -0.36 | jaccard:     0.83 | time: 5.5s
Epoch  155 | reward:    -0.39 | running:    -0.37 | jaccard:     0.81 | time: 5.5s
Epoch  156 | reward:    -0.36 | running:    -0.37 | jaccard:     0.83 | time: 5.5s
Epoch  157 | reward:    -0.35 | running:    -0.36 | jaccard:     0.81 | time: 5.5s
Epoch  158 | reward:    -0.38 | running:    -0.37 | jaccard:     0.80 | time: 5.5s
Epoch  159 | reward:    -0.34 | running:    -0.35 | jaccard:     0.83 | time: 5.5s
Epoch  160 | reward:    -0.37 | running:    -0.36 | jaccard:     0.78 | time: 5.5s
