
Training for 500 epochs...
------------------------------------------------------------
Epoch   69 | reward:    -1.53 | running:    -1.64 | jaccard:     0.89 | time: 50.5s
Epoch   70 | reward:    -1.52 | running:    -1.58 | jaccard:     0.89 | time: 50.7s
Epoch   71 | reward:    -1.53 | running:    -1.55 | jaccard:     0.90 | time: 50.7s
Epoch   72 | reward:    -1.54 | running:    -1.55 | jaccard:     0.90 | time: 50.8s
Epoch   73 | reward:    -1.52 | running:    -1.53 | jaccard:     0.90 | time: 50.7s
Epoch   74 | reward:    -1.48 | running:    -1.51 | jaccard:     0.89 | time: 50.7s
Epoch   75 | reward:    -1.44 | running:    -1.47 | jaccard:     0.90 | time: 50.7s
Epoch   76 | reward:    -1.48 | running:    -1.48 | jaccard:     0.89 | time: 50.8s
Epoch   77 | reward:    -1.42 | running:    -1.45 | jaccard:     0.88 | time: 50.7s
Epoch   78 | reward:    -1.37 | running:    -1.41 | jaccard:     0.86 | time: 50.8s
Epoch   79 | reward:    -1.41 | running:    -1.41 | jaccard:     0.85 | time: 50.7s
Epoch   80 | reward:    -1.38 | running:    -1.39 | jaccard:     0.84 | time: 50.8s
Epoch   81 | reward:    -1.43 | running:    -1.41 | jaccard:     0.78 | time: 50.9s
Epoch   82 | reward:    -1.37 | running:    -1.39 | jaccard:     0.88 | time: 51.0s
Epoch   83 | reward:    -1.32 | running:    -1.36 | jaccard:     0.88 | time: 51.0s
Epoch   84 | reward:    -1.33 | running:    -1.34 | jaccard:     0.85 | time: 51.0s
Epoch   85 | reward:    -1.31 | running:    -1.33 | jaccard:     0.87 | time: 51.0s
Epoch   86 | reward:    -1.27 | running:    -1.30 | jaccard:     0.82 | time: 51.0s
Epoch   87 | reward:    -1.29 | running:    -1.29 | jaccard:     0.79 | time: 51.0s
Epoch   88 | reward:    -1.27 | running:    -1.28 | jaccard:     0.85 | time: 51.0s
Epoch   89 | reward:    -1.29 | running:    -1.29 | jaccard:     0.83 | time: 51.0s
Epoch   90 | reward:    -1.25 | running:    -1.27 | jaccard:     0.82 | time: 51.0s
Epoch   91 | reward:    -1.28 | running:    -1.27 | jaccard:     0.83 | time: 50.7s
Epoch   92 | reward:    -1.25 | running:    -1.26 | jaccard:     0.81 | time: 50.6s
Epoch   93 | reward:    -1.27 | running:    -1.27 | jaccard:     0.76 | time: 50.7s
Epoch   94 | reward:    -1.28 | running:    -1.27 | jaccard:     0.81 | time: 50.5s
Epoch   95 | reward:    -1.29 | running:    -1.28 | jaccard:     0.76 | time: 50.7s
Epoch   96 | reward:    -1.25 | running:    -1.27 | jaccard:     0.81 | time: 50.5s
Epoch   97 | reward:    -1.28 | running:    -1.27 | jaccard:     0.74 | time: 50.7s
Epoch   98 | reward:    -1.24 | running:    -1.26 | jaccard:     0.81 | time: 50.5s
Epoch   99 | reward:    -1.23 | running:    -1.24 | jaccard:     0.83 | time: 50.7s
Epoch  100 | reward:    -1.23 | running:    -1.23 | jaccard:     0.80 | time: 50.5s
Epoch  101 | reward:    -1.22 | running:    -1.22 | jaccard:     0.77 | time: 50.6s
Epoch  102 | reward:    -1.17 | running:    -1.20 | jaccard:     0.84 | time: 50.6s
Epoch  103 | reward:    -1.28 | running:    -1.24 | jaccard:     0.75 | time: 50.6s
Epoch  104 | reward:    -1.19 | running:    -1.22 | jaccard:     0.87 | time: 50.6s
Epoch  105 | reward:    -1.20 | running:    -1.21 | jaccard:     0.84 | time: 50.6s
Epoch  106 | reward:    -1.21 | running:    -1.21 | jaccard:     0.85 | time: 50.5s
Epoch  107 | reward:    -1.20 | running:    -1.20 | jaccard:     0.82 | time: 50.6s
Epoch  108 | reward:    -1.18 | running:    -1.19 | jaccard:     0.85 | time: 50.6s
Epoch  109 | reward:    -1.19 | running:    -1.19 | jaccard:     0.80 | time: 50.6s
Epoch  110 | reward:    -1.19 | running:    -1.19 | jaccard:     0.84 | time: 50.6s
Epoch  111 | reward:    -1.30 | running:    -1.25 | jaccard:     0.74 | time: 50.9s
Epoch  112 | reward:    -1.16 | running:    -1.20 | jaccard:     0.86 | time: 50.9s
Epoch  113 | reward:    -1.20 | running:    -1.20 | jaccard:     0.79 | time: 50.8s
Epoch  114 | reward:    -1.18 | running:    -1.19 | jaccard:     0.78 | time: 50.8s
Epoch  115 | reward:    -1.16 | running:    -1.18 | jaccard:     0.82 | time: 50.8s
Epoch  116 | reward:    -1.23 | running:    -1.20 | jaccard:     0.77 | time: 50.8s
Epoch  117 | reward:    -1.13 | running:    -1.17 | jaccard:     0.83 | time: 50.8s
Epoch  118 | reward:    -1.18 | running:    -1.18 | jaccard:     0.84 | time: 50.8s
Epoch  119 | reward:    -1.19 | running:    -1.18 | jaccard:     0.73 | time: 50.8s
Epoch  120 | reward:    -1.14 | running:    -1.16 | jaccard:     0.81 | time: 50.8s
Epoch  121 | reward:    -1.16 | running:    -1.16 | jaccard:     0.81 | time: 50.9s
Epoch  122 | reward:    -1.17 | running:    -1.17 | jaccard:     0.76 | time: 51.0s
Epoch  123 | reward:    -1.10 | running:    -1.14 | jaccard:     0.84 | time: 51.0s
Epoch  124 | reward:    -1.17 | running:    -1.15 | jaccard:     0.76 | time: 51.0s
Epoch  125 | reward:    -1.17 | running:    -1.16 | jaccard:     0.83 | time: 51.0s
Epoch  126 | reward:    -1.13 | running:    -1.14 | jaccard:     0.80 | time: 51.0s
Epoch  127 | reward:    -1.24 | running:    -1.19 | jaccard:     0.76 | time: 51.0s
Epoch  128 | reward:    -1.12 | running:    -1.16 | jaccard:     0.84 | time: 51.0s
Epoch  129 | reward:    -1.10 | running:    -1.13 | jaccard:     0.85 | time: 51.0s
Epoch  130 | reward:    -1.10 | running:    -1.11 | jaccard:     0.83 | time: 51.0s
Epoch  131 | reward:    -1.10 | running:    -1.11 | jaccard:     0.81 | time: 50.7s
Epoch  132 | reward:    -1.15 | running:    -1.13 | jaccard:     0.79 | time: 50.6s
Epoch  133 | reward:    -1.10 | running:    -1.12 | jaccard:     0.83 | time: 50.7s
Epoch  134 | reward:    -1.13 | running:    -1.12 | jaccard:     0.83 | time: 50.6s
Epoch  135 | reward:    -1.14 | running:    -1.13 | jaccard:     0.81 | time: 50.7s
Epoch  136 | reward:    -1.16 | running:    -1.14 | jaccard:     0.81 | time: 50.6s
Epoch  137 | reward:    -1.15 | running:    -1.15 | jaccard:     0.80 | time: 50.7s
Epoch  138 | reward:    -1.13 | running:    -1.14 | jaccard:     0.83 | time: 50.5s
Epoch  139 | reward:    -1.11 | running:    -1.12 | jaccard:     0.80 | time: 50.7s
Epoch  140 | reward:    -1.08 | running:    -1.10 | jaccard:     0.77 | time: 50.5s
Epoch  141 | reward:    -1.06 | running:    -1.08 | jaccard:     0.82 | time: 50.6s
Epoch  142 | reward:    -1.10 | running:    -1.09 | jaccard:     0.81 | time: 50.6s
Epoch  143 | reward:    -1.10 | running:    -1.10 | jaccard:     0.81 | time: 50.6s
Epoch  144 | reward:    -1.06 | running:    -1.08 | jaccard:     0.81 | time: 50.8s
Epoch  145 | reward:    -1.18 | running:    -1.13 | jaccard:     0.74 | time: 50.9s
Epoch  146 | reward:    -1.12 | running:    -1.12 | jaccard:     0.80 | time: 50.9s
Epoch  147 | reward:    -1.11 | running:    -1.12 | jaccard:     0.83 | time: 50.9s
Epoch  148 | reward:    -1.09 | running:    -1.11 | jaccard:     0.82 | time: 50.9s
Epoch  149 | reward:    -1.08 | running:    -1.09 | jaccard:     0.78 | time: 50.9s
Epoch  150 | reward:    -1.04 | running:    -1.07 | jaccard:     0.84 | time: 50.9s
Epoch  151 | reward:    -1.12 | running:    -1.09 | jaccard:     0.84 | time: 51.1s
Epoch  152 | reward:    -1.08 | running:    -1.09 | jaccard:     0.80 | time: 50.9s
Epoch  153 | reward:    -1.09 | running:    -1.09 | jaccard:     0.80 | time: 50.9s
Epoch  154 | reward:    -1.10 | running:    -1.09 | jaccard:     0.82 | time: 51.0s
Epoch  155 | reward:    -1.07 | running:    -1.08 | jaccard:     0.78 | time: 50.9s
Epoch  156 | reward:    -1.11 | running:    -1.09 | jaccard:     0.79 | time: 50.9s
Epoch  157 | reward:    -1.11 | running:    -1.10 | jaccard:     0.73 | time: 50.9s
Epoch  158 | reward:    -1.14 | running:    -1.12 | jaccard:     0.69 | time: 50.9s
Epoch  159 | reward:    -1.09 | running:    -1.10 | jaccard:     0.86 | time: 51.0s
Epoch  160 | reward:    -1.08 | running:    -1.09 | jaccard:     0.84 | time: 50.9s
Epoch  161 | reward:    -1.05 | running:    -1.07 | jaccard:     0.82 | time: 51.0s
Epoch  162 | reward:    -1.06 | running:    -1.07 | jaccard:     0.88 | time: 51.1s
Epoch  163 | reward:    -1.11 | running:    -1.09 | jaccard:     0.84 | time: 51.1s
Epoch  164 | reward:    -1.04 | running:    -1.06 | jaccard:     0.80 | time: 51.0s
Epoch  165 | reward:    -1.12 | running:    -1.09 | jaccard:     0.79 | time: 51.1s
Epoch  166 | reward:    -1.10 | running:    -1.09 | jaccard:     0.78 | time: 51.0s
Epoch  167 | reward:    -1.08 | running:    -1.09 | jaccard:     0.79 | time: 51.1s
Epoch  168 | reward:    -1.10 | running:    -1.09 | jaccard:     0.79 | time: 51.1s
Epoch  169 | reward:    -1.14 | running:    -1.12 | jaccard:     0.80 | time: 51.1s
Epoch  170 | reward:    -1.03 | running:    -1.07 | jaccard:     0.80 | time: 51.1s
Epoch  171 | reward:    -1.11 | running:    -1.09 | jaccard:     0.75 | time: 50.7s
Epoch  172 | reward:    -1.09 | running:    -1.09 | jaccard:     0.78 | time: 50.8s
Epoch  173 | reward:    -1.07 | running:    -1.08 | jaccard:     0.85 | time: 50.7s
Epoch  174 | reward:    -1.06 | running:    -1.07 | jaccard:     0.82 | time: 50.8s
Epoch  175 | reward:    -1.10 | running:    -1.09 | jaccard:     0.80 | time: 50.7s
Epoch  176 | reward:    -1.11 | running:    -1.10 | jaccard:     0.79 | time: 50.8s
Epoch  177 | reward:    -1.08 | running:    -1.09 | jaccard:     0.79 | time: 50.7s
Epoch  178 | reward:    -1.18 | running:    -1.13 | jaccard:     0.75 | time: 50.8s
Epoch  179 | reward:    -1.06 | running:    -1.09 | jaccard:     0.81 | time: 50.6s
Epoch  180 | reward:    -1.06 | running:    -1.08 | jaccard:     0.82 | time: 50.8s
Epoch  181 | reward:    -1.06 | running:    -1.07 | jaccard:     0.82 | time: 50.9s
Epoch  182 | reward:    -1.04 | running:    -1.06 | jaccard:     0.83 | time: 50.9s
Epoch  183 | reward:    -1.08 | running:    -1.07 | jaccard:     0.81 | time: 50.9s
Epoch  184 | reward:    -1.04 | running:    -1.05 | jaccard:     0.84 | time: 50.9s
Epoch  185 | reward:    -1.10 | running:    -1.08 | jaccard:     0.81 | time: 50.9s
Epoch  186 | reward:    -1.05 | running:    -1.06 | jaccard:     0.81 | time: 50.9s
Epoch  187 | reward:    -1.08 | running:    -1.07 | jaccard:     0.81 | time: 50.9s
Epoch  188 | reward:    -1.09 | running:    -1.08 | jaccard:     0.73 | time: 50.9s
Epoch  189 | reward:    -1.08 | running:    -1.08 | jaccard:     0.82 | time: 50.8s
Epoch  190 | reward:    -1.07 | running:    -1.07 | jaccard:     0.81 | time: 50.9s
Epoch  191 | reward:    -1.07 | running:    -1.07 | jaccard:     0.82 | time: 50.9s
Epoch  192 | reward:    -1.04 | running:    -1.05 | jaccard:     0.83 | time: 50.9s
Epoch  193 | reward:    -1.08 | running:    -1.07 | jaccard:     0.83 | time: 50.9s
Epoch  194 | reward:    -1.05 | running:    -1.06 | jaccard:     0.82 | time: 50.9s
Epoch  195 | reward:    -1.11 | running:    -1.08 | jaccard:     0.81 | time: 50.9s
Epoch  196 | reward:    -1.03 | running:    -1.06 | jaccard:     0.83 | time: 50.9s
Epoch  197 | reward:    -1.05 | running:    -1.05 | jaccard:     0.82 | time: 50.9s
Epoch  198 | reward:    -1.08 | running:    -1.06 | jaccard:     0.81 | time: 50.9s
Epoch  199 | reward:    -1.07 | running:    -1.07 | jaccard:     0.84 | time: 50.9s
Epoch  200 | reward:    -1.07 | running:    -1.07 | jaccard:     0.85 | time: 50.9s
Epoch  201 | reward:    -1.04 | running:    -1.05 | jaccard:     0.82 | time: 51.0s
Epoch  202 | reward:    -1.03 | running:    -1.04 | jaccard:     0.82 | time: 51.1s
Epoch  203 | reward:    -1.05 | running:    -1.05 | jaccard:     0.79 | time: 51.1s
Epoch  204 | reward:    -1.05 | running:    -1.05 | jaccard:     0.81 | time: 51.0s
Epoch  205 | reward:    -1.17 | running:    -1.11 | jaccard:     0.72 | time: 51.1s
Epoch  206 | reward:    -1.06 | running:    -1.08 | jaccard:     0.85 | time: 51.1s
Epoch  207 | reward:    -1.04 | running:    -1.06 | jaccard:     0.81 | time: 51.1s
Epoch  208 | reward:    -1.01 | running:    -1.04 | jaccard:     0.80 | time: 51.1s
Epoch  209 | reward:    -1.05 | running:    -1.04 | jaccard:     0.84 | time: 51.1s
Epoch  210 | reward:    -1.12 | running:    -1.08 | jaccard:     0.68 | time: 51.1s
Epoch  211 | reward:    -1.07 | running:    -1.08 | jaccard:     0.79 | time: 50.9s
Epoch  212 | reward:    -1.03 | running:    -1.05 | jaccard:     0.84 | time: 50.8s
Epoch  213 | reward:    -1.04 | running:    -1.05 | jaccard:     0.79 | time: 50.8s
Epoch  214 | reward:    -1.05 | running:    -1.05 | jaccard:     0.79 | time: 50.8s
Epoch  215 | reward:    -1.03 | running:    -1.04 | jaccard:     0.79 | time: 50.8s
Epoch  216 | reward:    -1.06 | running:    -1.05 | jaccard:     0.82 | time: 50.8s
Epoch  217 | reward:    -1.03 | running:    -1.04 | jaccard:     0.82 | time: 50.8s
Epoch  218 | reward:    -0.95 | running:    -1.00 | jaccard:     0.83 | time: 50.8s
Epoch  219 | reward:    -1.02 | running:    -1.01 | jaccard:     0.82 | time: 50.8s
Epoch  220 | reward:    -1.03 | running:    -1.02 | jaccard:     0.80 | time: 50.8s
Epoch  221 | reward:    -1.03 | running:    -1.02 | jaccard:     0.77 | time: 50.9s
Epoch  222 | reward:    -1.02 | running:    -1.02 | jaccard:     0.82 | time: 50.9s
Epoch  223 | reward:    -1.09 | running:    -1.05 | jaccard:     0.79 | time: 50.9s
Epoch  224 | reward:    -1.01 | running:    -1.03 | jaccard:     0.78 | time: 50.9s
Epoch  225 | reward:    -1.07 | running:    -1.05 | jaccard:     0.77 | time: 50.9s
Epoch  226 | reward:    -1.03 | running:    -1.04 | jaccard:     0.81 | time: 50.9s
Epoch  227 | reward:    -1.00 | running:    -1.02 | jaccard:     0.84 | time: 50.9s
Epoch  228 | reward:    -0.99 | running:    -1.01 | jaccard:     0.82 | time: 50.9s
Epoch  229 | reward:    -1.02 | running:    -1.01 | jaccard:     0.80 | time: 50.9s
Epoch  230 | reward:    -1.01 | running:    -1.01 | jaccard:     0.82 | time: 50.9s
Epoch  231 | reward:    -1.05 | running:    -1.03 | jaccard:     0.81 | time: 51.0s
Epoch  232 | reward:    -1.03 | running:    -1.03 | jaccard:     0.73 | time: 51.0s
Epoch  233 | reward:    -0.96 | running:    -1.00 | jaccard:     0.83 | time: 51.0s
Epoch  234 | reward:    -0.98 | running:    -0.99 | jaccard:     0.83 | time: 50.9s
Epoch  235 | reward:    -1.01 | running:    -1.00 | jaccard:     0.83 | time: 51.0s
Epoch  236 | reward:    -1.07 | running:    -1.04 | jaccard:     0.83 | time: 50.9s
Epoch  237 | reward:    -0.98 | running:    -1.01 | jaccard:     0.79 | time: 51.0s
Epoch  238 | reward:    -1.00 | running:    -1.00 | jaccard:     0.82 | time: 51.0s
Epoch  239 | reward:    -0.99 | running:    -0.99 | jaccard:     0.83 | time: 51.1s
Epoch  240 | reward:    -1.01 | running:    -1.00 | jaccard:     0.83 | time: 51.0s
Epoch  241 | reward:    -0.99 | running:    -1.00 | jaccard:     0.83 | time: 50.9s
Epoch  242 | reward:    -1.07 | running:    -1.03 | jaccard:     0.83 | time: 51.0s
Epoch  243 | reward:    -1.02 | running:    -1.02 | jaccard:     0.85 | time: 51.0s
Epoch  244 | reward:    -1.05 | running:    -1.04 | jaccard:     0.83 | time: 51.0s
Epoch  245 | reward:    -1.00 | running:    -1.02 | jaccard:     0.79 | time: 51.0s
Epoch  246 | reward:    -0.99 | running:    -1.01 | jaccard:     0.81 | time: 51.0s
Epoch  247 | reward:    -0.99 | running:    -1.00 | jaccard:     0.79 | time: 51.0s
Epoch  248 | reward:    -1.01 | running:    -1.00 | jaccard:     0.79 | time: 51.0s
Epoch  249 | reward:    -1.00 | running:    -1.00 | jaccard:     0.82 | time: 50.9s
Epoch  250 | reward:    -0.99 | running:    -1.00 | jaccard:     0.82 | time: 51.0s
Epoch  251 | reward:    -1.04 | running:    -1.02 | jaccard:     0.79 | time: 50.8s
Epoch  252 | reward:    -0.97 | running:    -1.00 | jaccard:     0.81 | time: 50.9s
Epoch  253 | reward:    -1.01 | running:    -1.00 | jaccard:     0.80 | time: 50.8s
Epoch  254 | reward:    -0.92 | running:    -0.96 | jaccard:     0.78 | time: 50.9s
Epoch  255 | reward:    -0.93 | running:    -0.95 | jaccard:     0.78 | time: 50.8s
Epoch  256 | reward:    -0.90 | running:    -0.92 | jaccard:     0.81 | time: 50.9s
Epoch  257 | reward:    -0.92 | running:    -0.92 | jaccard:     0.70 | time: 50.9s
Epoch  258 | reward:    -1.01 | running:    -0.97 | jaccard:     0.75 | time: 50.9s
Epoch  259 | reward:    -0.94 | running:    -0.95 | jaccard:     0.84 | time: 50.8s
Epoch  260 | reward:    -0.93 | running:    -0.94 | jaccard:     0.84 | time: 50.9s
Epoch  261 | reward:    -0.97 | running:    -0.95 | jaccard:     0.85 | time: 50.9s
Epoch  262 | reward:    -0.88 | running:    -0.92 | jaccard:     0.77 | time: 50.9s
Epoch  263 | reward:    -0.87 | running:    -0.89 | jaccard:     0.82 | time: 50.9s
Epoch  264 | reward:    -0.95 | running:    -0.92 | jaccard:     0.77 | time: 50.9s
Epoch  265 | reward:    -0.92 | running:    -0.92 | jaccard:     0.80 | time: 50.9s
Epoch  266 | reward:    -0.85 | running:    -0.89 | jaccard:     0.79 | time: 50.9s
Epoch  267 | reward:    -0.85 | running:    -0.87 | jaccard:     0.80 | time: 50.9s
Epoch  268 | reward:    -0.83 | running:    -0.85 | jaccard:     0.81 | time: 50.9s
Epoch  269 | reward:    -0.78 | running:    -0.81 | jaccard:     0.76 | time: 50.9s
Epoch  270 | reward:    -0.83 | running:    -0.82 | jaccard:     0.82 | time: 50.9s
Epoch  271 | reward:    -0.73 | running:    -0.78 | jaccard:     0.76 | time: 51.0s
Epoch  272 | reward:    -0.74 | running:    -0.76 | jaccard:     0.76 | time: 51.0s
Epoch  273 | reward:    -0.71 | running:    -0.73 | jaccard:     0.74 | time: 51.0s
Epoch  274 | reward:    -0.70 | running:    -0.72 | jaccard:     0.79 | time: 51.0s
Epoch  275 | reward:    -0.53 | running:    -0.62 | jaccard:     0.75 | time: 51.0s
Epoch  276 | reward:    -0.63 | running:    -0.63 | jaccard:     0.82 | time: 51.0s
Epoch  277 | reward:    -0.44 | running:    -0.53 | jaccard:     0.81 | time: 51.0s
Epoch  278 | reward:    -0.39 | running:    -0.46 | jaccard:     0.82 | time: 51.0s
Epoch  279 | reward:    -0.33 | running:    -0.39 | jaccard:     0.81 | time: 51.0s
Epoch  280 | reward:    -0.29 | running:    -0.34 | jaccard:     0.80 | time: 51.0s
Epoch  281 | reward:    -0.18 | running:    -0.26 | jaccard:     0.81 | time: 51.1s
Epoch  282 | reward:    -0.24 | running:    -0.25 | jaccard:     0.80 | time: 51.0s
Epoch  283 | reward:    -0.25 | running:    -0.25 | jaccard:     0.78 | time: 51.1s
Epoch  284 | reward:    -0.18 | running:    -0.21 | jaccard:     0.75 | time: 51.1s
Epoch  285 | reward:    -0.16 | running:    -0.19 | jaccard:     0.76 | time: 51.1s
Epoch  286 | reward:    -0.07 | running:    -0.13 | jaccard:     0.79 | time: 51.0s
Epoch  287 | reward:    -0.05 | running:    -0.09 | jaccard:     0.79 | time: 51.1s
Epoch  288 | reward:    -0.07 | running:    -0.08 | jaccard:     0.76 | time: 51.1s
Epoch  289 | reward:    -0.01 | running:    -0.04 | jaccard:     0.81 | time: 51.1s
Epoch  290 | reward:    -0.09 | running:    -0.07 | jaccard:     0.78 | time: 51.1s
Epoch  291 | reward:    -0.11 | running:    -0.09 | jaccard:     0.77 | time: 50.9s
Epoch  292 | reward:    -0.16 | running:    -0.13 | jaccard:     0.79 | time: 50.8s
Epoch  293 | reward:    -0.10 | running:    -0.11 | jaccard:     0.78 | time: 50.9s
Epoch  294 | reward:    -0.07 | running:    -0.09 | jaccard:     0.81 | time: 50.9s
Epoch  295 | reward:    -0.01 | running:    -0.05 | jaccard:     0.79 | time: 51.1s
Epoch  296 | reward:    -0.16 | running:    -0.10 | jaccard:     0.77 | time: 51.1s
Epoch  297 | reward:    -0.09 | running:    -0.10 | jaccard:     0.79 | time: 51.1s
Epoch  298 | reward:    -0.05 | running:    -0.08 | jaccard:     0.80 | time: 51.1s
Epoch  299 | reward:    -0.08 | running:    -0.08 | jaccard:     0.79 | time: 51.1s
Epoch  300 | reward:    -0.09 | running:    -0.08 | jaccard:     0.78 | time: 51.1s
Epoch  301 | reward:    -0.07 | running:    -0.08 | jaccard:     0.78 | time: 51.2s
Epoch  302 | reward:    -0.05 | running:    -0.06 | jaccard:     0.79 | time: 51.2s
